uid:9353999, age:97, interest:1859|9227|9665, aid:8758751, ad_kw:9484|3953|6297|8253|7989, label:1
uid:6675311, age:80, interest:9523|4181|5077, aid:2084710, ad_kw:5321|1953|3896, label:1
uid:7062075, age:43, interest:1286|8166|4152, aid:2880725, ad_kw:7605|364|8534, label:0
uid:8159127, age:91, interest:5196|5379|3925, aid:1701079, ad_kw:1330|998|8374, label:1
uid:2561610, age:76, interest:3678|3345|2616, aid:1609000, ad_kw:5940|632|1418, label:0
uid:9574041, age:53, interest:8366|9934|8324|8761|7528, aid:1905099, ad_kw:2228|84|5615, label:1
uid:5074168, age:69, interest:2837|9596|8514|2502|4047, aid:2043983, ad_kw:2504|95|2961|2667|9737, label:0
uid:7834986, age:52, interest:3209|3056|8483|8207|5606, aid:5286996, ad_kw:7306|66|6489|8611|6998, label:1
uid:4691151, age:31, interest:8924|5466|9302|5383|4085, aid:8553737, ad_kw:2972|37|3491|2131|3805, label:1
uid:1337162, age:36, interest:7878|3348|9547|8674, aid:9301390, ad_kw:8113|89|3006|2381|3833, label:1
uid:3640250, age:55, interest:7477|6216|9854|1357, aid:3763341, ad_kw:5410|322|3646|4924|4104, label:1
uid:6611600, age:48, interest:2305|9569|3995|4423, aid:6132263, ad_kw:321|657|2632|7726|1704, label:1
uid:7219447, age:31, interest:4786|1838|8556|3554, aid:3973624, ad_kw:656|6158|4350|7298|5171, label:0
uid:6179065, age:62, interest:8512|7938|6812|5048, aid:1143872, ad_kw:646|8976|9003|7092, label:1
uid:1347542, age:56, interest:9914|1419|5406|3172|7666, aid:9948332, ad_kw:568|8846|8060|8434, label:1
uid:6615128, age:59, interest:9080|6113|9778|2309|2238, aid:2566511, ad_kw:116|2401|5527|6197, label:1
uid:4640079, age:46, interest:8267|1192|2910|9380|4453, aid:8158332, ad_kw:8099|7842|7978|4161, label:0
uid:6103692, age:32, interest:8045|3895|3021|1518|7672, aid:5155754, ad_kw:1155|8113|7798, label:1
uid:7879810, age:65, interest:5565|2388|3868|9909|9696, aid:5930441, ad_kw:3442|2878|1127|9874, label:1
uid:9818325, age:95, interest:561|7302|6824, aid:8629044, ad_kw:6821|7471|6531|7697, label:0
uid:8502912, age:41, interest:925|6682|6233, aid:7785295, ad_kw:5854|6660|8882|8253, label:1
uid:8716364, age:11, interest:197|9932|6465, aid:6724705, ad_kw:4790|6029|1450|3387, label:1
uid:7789805, age:22, interest:520|4662|7606, aid:4075113, ad_kw:2534|9362|4080|5459, label:0
uid:6133514, age:49, interest:457|4407|9848, aid:6336337, ad_kw:9376|62|6162|1922, label:1
uid:5789729, age:87, interest:7414|9634|9663|5685|9561, aid:4154569, ad_kw:2406|70|1817|3940, label:0
uid:7162897, age:81, interest:8099|8516|2179|4241|3014, aid:9356155, ad_kw:7415|89|6708|3093, label:1
uid:4488119, age:80, interest:9106|9408|8810|7372|9791, aid:9914512, ad_kw:1100|31|8309|9798|5753, label:0
uid:1522167, age:11, interest:1296|3436|5029|1192|5255, aid:1814794, ad_kw:8288|1510|7683|8544|4818, label:1
uid:3730068, age:68, interest:7480|3010|4407|3938|1370, aid:1987204, ad_kw:1654|5179|1363, label:0
uid:4396590, age:71, interest:2414|5432|5523|5454|1815, aid:1364600, ad_kw:3041|2539|4021, label:1
uid:3108433, age:28, interest:3482|9942, aid:7980304, ad_kw:2736|3509|3640, label:0
uid:4169021, age:12, interest:5715|4977, aid:1437304, ad_kw:9419|9361|9213, label:1
uid:9475283, age:14, interest:5563|3147, aid:6482805, ad_kw:9694|3169|5843|5526|6291, label:0
uid:7649589, age:20, interest:5871|2202, aid:5446346, ad_kw:8932|732|7926|1624|3460, label:1
uid:8050478, age:36, interest:8159|6855, aid:3312014, ad_kw:3650|8407|4246|8194, label:0
uid:2650721, age:57, interest:4041|3164|5486|9064|3671, aid:9405376, ad_kw:1918|7286|2501|5208, label:1
uid:5682554, age:43, interest:9624|4277|8000|6566|9565, aid:6436832, ad_kw:6180|1562|7596|2582, label:0
uid:3830106, age:40, interest:3583|6655|4219|7939|5910, aid:6431803, ad_kw:4143|28|5338|4699, label:1
uid:5615369, age:85, interest:6360|2969|4692|8852|9317, aid:3624240, ad_kw:1230|12|9125|7866, label:0
uid:6902261, age:31, interest:2341|9029|1474|5313|3415, aid:4916774, ad_kw:2031|28|1476|7524, label:1
uid:1367074, age:50, interest:9945|1753|9082|7515|5584, aid:4252763, ad_kw:3313|32|6078|9329, label:0
uid:4919107, age:50, interest:8738|1323|9612|5845|8266, aid:9535584, ad_kw:3935|32|9019|3408, label:1
uid:9781314, age:58, interest:2653|2990|2158|3611|8051, aid:8358593, ad_kw:6434|771|5111|4351, label:0
uid:2077723, age:96, interest:5039|6499|2543|5510|2611, aid:7455425, ad_kw:8629|88|1014|2152|1358, label:1
uid:6020647, age:25, interest:5341|5014|6397|2434, aid:3303916, ad_kw:1528|64|9099|4170|3305, label:0
uid:8125088, age:74, interest:7359|2041|9936|5326, aid:8431471, ad_kw:7049|25|6065|6687|5415, label:1
uid:2001858, age:45, interest:4489|8324|8421|5029, aid:4029719, ad_kw:9270|7424|3311|2013|2245, label:1
uid:5066618, age:27, interest:9739|5950|4695|8166, aid:2291458, ad_kw:3233|1059|8721|1678|6196, label:0
uid:1843585, age:43, interest:1252|6205|3182, aid:8784191, ad_kw:3168|8170|7925, label:1
uid:3747335, age:86, interest:4125|7467|2130|1737, aid:4375473, ad_kw:9917|4866|1309, label:0
uid:9727766, age:96, interest:7754|5197|8373|6595, aid:3249062, ad_kw:44|6246|7571, label:1
uid:7840482, age:19, interest:7917|4084|2022|9331, aid:6214805, ad_kw:11|7897|9457, label:0
uid:8220846, age:46, interest:9362|5041|6188|4474, aid:7839329, ad_kw:19|1069|8223, label:1
uid:8674390, age:61, interest:4847|9718|4334|3898|1665, aid:7181967, ad_kw:59|4423|5034, label:1
uid:4461713, age:53, interest:8030|6751|7145|5872|5137, aid:6596598, ad_kw:80|9248|5255, label:1
uid:4351758, age:94, interest:8329|8517|7109|9017|5570, aid:3125795, ad_kw:922|5001, label:0
uid:1320158, age:14, interest:7619|6149|5483|2761|5218, aid:6232779, ad_kw:769|3536, label:1
uid:9844501, age:89, interest:3226|8408|3651, aid:2305977, ad_kw:575|1479|3707|5061, label:1
uid:9214127, age:18, interest:1724|7354|5608, aid:8240138, ad_kw:911|3864, label:0
uid:7531276, age:80, interest:3173|2491|7182, aid:6867092, ad_kw:302|6600, label:1
uid:8515137, age:80, interest:9621|1749|5353, aid:3104976, ad_kw:7583|9555|6858, label:0
uid:9432604, age:35, interest:4514|8088, aid:3697956, ad_kw:4424|1173|2472, label:1
uid:9992290, age:64, interest:7624|8906|6441|3531, aid:5977519, ad_kw:9628|9922|4787, label:0
uid:7539277, age:68, interest:3214|8001|4987|4519, aid:6999235, ad_kw:6688|9230|8077|8115|4506, label:1
uid:9514097, age:11, interest:125|8771|7563, aid:6056630, ad_kw:3546|4688|2435|9881|4948, label:1
uid:2473421, age:93, interest:729|7612|4172, aid:5064223, ad_kw:8616|4099|1637, label:1
uid:6179713, age:81, interest:688|7621|7546|5879, aid:9126220, ad_kw:9702|2079|4703, label:1
uid:9254005, age:84, interest:546|826|2102|5567, aid:8527769, ad_kw:8257|8157, label:1
uid:7425878, age:58, interest:1576|791|2918|8282, aid:8246697, ad_kw:4149|5801, label:1
uid:8052043, age:95, interest:3223|607|1317|1108|6788, aid:9095950, ad_kw:747|9481, label:0
uid:5237922, age:71, interest:4453|825|7330|3216|3958, aid:8096047, ad_kw:545|144|9379|1621, label:1
uid:4584512, age:33, interest:6983|5529|5775|9883|2591, aid:2796569, ad_kw:384|852|5656|9143, label:1
uid:3574079, age:28, interest:9736|1475|4678, aid:6914321, ad_kw:801|443|8099|2869|4737, label:1
uid:4209289, age:88, interest:7151|7068|6710, aid:3789727, ad_kw:744|277|8095|8473|7936, label:0
uid:3882588, age:52, interest:3859|1195|4912, aid:7793564, ad_kw:219|3236|7311|2552|2523, label:1
uid:9277663, age:34, interest:6711|5904, aid:2423034, ad_kw:5543|49|3783|4432|3588, label:0
